                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.2634,                0.34001,                0.24685,                0.85493,                0.76849,                0.80942,                0.87907,                0.87157,                 0.7503,                0.79059,                 0.8504,                0.83005,                0.21353,                0.59266,                0.27153,                0.81812,             0.00055142,             0.00055142,             0.00055142
                     26,                0.26259,                0.35773,                0.23864,                0.85289,                0.87053,                0.93942,                0.96185,                 0.9485,                0.85176,                0.92057,                0.94229,                0.92172,                0.19191,                0.43302,                0.23483,                0.80348,             0.00054435,             0.00054435,             0.00054435
                     27,                0.26132,                0.35166,                0.24139,                0.85453,                0.73608,                0.84711,                0.86497,                0.86355,                0.72039,                0.82828,                0.83171,                0.82302,                0.18089,                0.61419,                 0.2367,                0.79293,             0.00053728,             0.00053728,             0.00053728
                     28,                0.25422,                 0.3384,                0.23451,                 0.8521,                0.92549,                 0.8429,                0.91686,                0.84729,                0.89875,                0.81659,                0.87721,                0.80101,                0.20508,                0.54634,                0.23627,                0.80828,             0.00053022,             0.00053022,             0.00053022
                     29,                0.25724,                0.34396,                0.23554,                 0.8506,                0.79323,                0.82695,                0.90911,                0.90758,                0.77578,                0.80924,                0.87824,                0.86345,                0.17684,                0.35146,                0.23787,                0.78866,             0.00052315,             0.00052315,             0.00052315
                     30,                 0.2568,                 0.3446,                0.23507,                 0.8515,                 0.8835,                0.86802,                0.90569,                0.90297,                0.85811,                 0.8426,                0.86185,                0.84396,                0.18792,                0.56704,                 0.2132,                0.79853,             0.00051608,             0.00051608,             0.00051608
                     31,                0.25467,                0.33699,                0.22768,                0.85219,                0.87211,                0.90416,                 0.9512,                0.94636,                0.85084,                0.88198,                0.91185,                0.90139,                0.20248,                0.38223,                0.23891,                 0.8028,             0.00050901,             0.00050901,             0.00050901
                     32,                  0.258,                 0.3474,                0.23424,                0.85278,                 0.7979,                 0.8949,                0.91019,                0.90501,                0.77964,                0.87607,                0.88673,                0.87985,                0.19478,                0.35883,                 0.2317,                0.80674,             0.00050194,             0.00050194,             0.00050194
                     33,                0.26126,                0.34641,                0.23418,                0.85431,                0.78833,                0.87119,                0.88306,                0.87832,                0.76713,                0.84899,                0.85326,                 0.8434,                0.18623,                0.42148,                0.24091,                0.79405,             0.00049487,             0.00049487,             0.00049487
                     34,                0.25398,                0.34501,                0.22386,                0.85326,                0.73973,                0.89174,                 0.8622,                0.84619,                0.71978,                0.87179,                0.83469,                0.81317,                0.18825,                0.31149,                0.21732,                0.79579,              0.0004878,              0.0004878,              0.0004878
                     35,                0.25307,                0.33121,                  0.225,                0.85215,                0.87114,                0.91067,                0.94265,                0.94071,                0.85278,                0.89186,                0.91201,                0.90244,                 0.1916,                0.41991,                0.20703,                0.79936,             0.00048074,             0.00048074,             0.00048074
                     36,                 0.2499,                0.32565,                0.22009,                0.85118,                0.89066,                0.91153,                0.97175,                0.96803,                0.87165,                0.89285,                0.94657,                 0.9314,                0.18232,                0.36975,                0.18007,                0.79348,             0.00047367,             0.00047367,             0.00047367
                     37,                0.25231,                0.32627,                 0.2185,                0.85146,                0.91532,                0.93275,                0.96523,                0.96162,                0.89691,                0.91392,                0.94272,                0.93594,                0.17475,                0.34355,                0.19602,                0.78945,              0.0004666,              0.0004666,              0.0004666
                     38,                0.25328,                0.32654,                0.22001,                0.84836,                0.93442,                0.91711,                0.96764,                0.96585,                0.91519,                0.89845,                0.93513,                  0.927,                0.18627,                0.33251,                 0.1963,                0.79776,             0.00045953,             0.00045953,             0.00045953
                     39,                0.25176,                0.32432,                 0.2203,                0.84875,                0.87345,                0.93422,                 0.9587,                0.95542,                0.84473,                0.90541,                0.92065,                0.91009,                0.18004,                0.59604,                0.18818,                0.79133,             0.00045246,             0.00045246,             0.00045246
                     40,                0.25218,                0.33411,                0.21496,                0.85093,                0.94398,                0.86393,                0.95232,                0.94655,                0.93305,                0.84557,                0.93563,                0.91723,                0.18452,                0.26519,                0.19505,                0.79524,             0.00044539,             0.00044539,             0.00044539
                     41,                0.25168,                0.32548,                0.22167,                0.84969,                0.91861,                0.90543,                0.96465,                0.95811,                0.90088,                0.88773,                0.92634,                0.91586,                0.18185,                 0.3415,                0.18455,                0.79401,             0.00043832,             0.00043832,             0.00043832
                     42,                0.24906,                0.32808,                0.21128,                0.84865,                0.97418,                 0.9495,                0.98433,                0.97856,                0.95525,                0.93067,                0.95054,                0.92846,                 0.1733,                0.25042,                0.17732,                0.78868,             0.00043126,             0.00043126,             0.00043126
                     43,                0.25248,                0.32866,                0.21817,                0.84956,                 0.9001,                 0.8951,                0.94801,                0.94382,                0.88138,                0.87627,                0.91546,                0.90492,                 0.1817,                0.33693,                0.19838,                0.79168,             0.00042419,             0.00042419,             0.00042419
                     44,                0.25048,                0.32836,                0.21047,                0.85108,                0.82684,                0.91425,                0.97306,                 0.9718,                0.80921,                0.89652,                0.94227,                0.92323,                0.17182,                0.34903,                0.20068,                0.78763,             0.00041712,             0.00041712,             0.00041712
                     45,                0.24753,                0.32208,                 0.2131,                0.85041,                0.95166,                0.92641,                  0.972,                0.97047,                0.93279,                0.90758,                0.94857,                 0.9398,                0.16822,                0.43933,                0.18286,                0.78903,             0.00041005,             0.00041005,             0.00041005
                     46,                0.24453,                0.31648,                0.20309,                0.84726,                0.94758,                0.93887,                0.96787,                0.96404,                0.92781,                0.91894,                0.93217,                0.91981,                0.19174,                0.30295,                0.21038,                0.81005,             0.00040298,             0.00040298,             0.00040298
                     47,                0.24796,                0.31455,                0.20404,                0.85051,                0.97531,                0.93946,                0.97058,                0.96865,                0.95615,                0.92073,                0.93932,                0.93578,                0.17012,                0.28233,                0.16302,                0.78856,             0.00039591,             0.00039591,             0.00039591
                     48,                0.24598,                0.30874,                0.20542,                0.84847,                0.96576,                 0.9421,                0.96187,                0.96048,                0.94988,                0.91503,                 0.9286,                0.92229,                0.16928,                0.30155,                0.17439,                0.78733,             0.00038884,             0.00038884,             0.00038884
                     49,                0.24684,                0.31988,                0.20604,                0.84832,                0.94361,                0.94779,                0.97154,                0.97032,                0.92596,                0.93008,                0.95088,                0.94143,                0.17089,                0.31534,                0.18241,                0.78653,             0.00038178,             0.00038178,             0.00038178
                     50,                0.24551,                0.31787,                 0.2036,                0.84885,                0.92456,                0.96014,                0.99212,                0.98774,                0.90576,                0.94131,                0.97331,                0.96557,                0.16784,                0.29173,                0.18468,                0.78734,             0.00037471,             0.00037471,             0.00037471
                     51,                0.24624,                0.31496,                0.20559,                 0.8497,                0.92489,                 0.9263,                0.95394,                0.95009,                0.90473,                0.90639,                0.92328,                0.91674,                0.16636,                0.29797,                0.18416,                0.78457,             0.00036764,             0.00036764,             0.00036764
                     52,                0.24519,                0.32086,                0.20057,                0.84914,                0.95996,                0.90839,                 0.9736,                0.97002,                0.93769,                0.88764,                0.94029,                0.92998,                  0.166,                0.29953,                0.16566,                0.78354,             0.00036057,             0.00036057,             0.00036057
                     53,                0.24623,                0.32027,                0.19571,                0.85166,                0.89743,                0.93186,                0.96215,                0.95953,                0.87899,                0.91421,                0.92975,                0.91979,                0.17491,                0.19407,                0.20196,                0.80225,              0.0003535,              0.0003535,              0.0003535
                     54,                0.24551,                0.30779,                0.19905,                0.84872,                0.98519,                0.95176,                0.97411,                0.97283,                0.95849,                0.92516,                 0.9138,                0.90207,                0.16993,                0.60626,                0.17547,                0.78681,             0.00034643,             0.00034643,             0.00034643
                     55,                 0.2429,                0.30789,                0.19703,                0.84793,                0.95198,                0.94422,                0.96435,                0.96265,                 0.9299,                0.92521,                0.92825,                0.92068,                0.16843,                0.34704,                0.17624,                0.78981,             0.00033936,             0.00033936,             0.00033936
                     56,                0.24492,                0.30797,                0.20365,                0.85026,                0.89963,                0.96095,                0.97916,                0.97804,                0.88093,                0.94212,                0.94922,                0.93192,                0.17089,                0.32237,                0.19207,                0.78985,              0.0003323,              0.0003323,              0.0003323
                     57,                0.24571,                0.31614,                0.20144,                0.84655,                0.95828,                0.91664,                0.96707,                0.96545,                0.93941,                0.89781,                0.93779,                0.92768,                 0.1645,                0.31078,                0.18859,                0.78564,             0.00032523,             0.00032523,             0.00032523
                     58,                 0.2436,                0.31654,                0.19711,                0.84726,                0.88584,                0.91253,                 0.9201,                0.89897,                0.86713,                 0.8937,                0.88956,                 0.8576,                0.18293,                 0.2398,                0.19301,                0.78986,             0.00031816,             0.00031816,             0.00031816
                     59,                0.24829,                0.30598,                0.19948,                0.84882,                0.97919,                0.95832,                 0.9773,                0.97477,                0.95914,                 0.9384,                0.94384,                0.93766,                0.15984,                0.30642,                0.14989,                0.78293,             0.00031109,             0.00031109,             0.00031109
                     60,                0.24141,                0.30753,                0.19771,                0.84716,                0.97117,                0.95723,                0.96144,                0.96052,                0.95118,                0.93727,                0.92868,                0.92348,                 0.1578,                0.37564,                0.15444,                0.78154,             0.00030402,             0.00030402,             0.00030402
                     61,                0.23959,                0.30138,                0.18876,                0.84486,                0.94599,                0.95955,                0.96765,                0.96603,                0.92819,                0.94182,                0.93641,                0.92778,                 0.1569,                0.28696,                0.14392,                0.78074,             0.00029695,             0.00029695,             0.00029695
                     62,                 0.2413,                0.30463,                0.19194,                0.84673,                0.94036,                0.95727,                0.97708,                0.97175,                0.92138,                0.93866,                0.94637,                0.93595,                0.16156,                0.24719,                0.16009,                0.78254,             0.00028988,             0.00028988,             0.00028988
                     63,                0.24087,                0.30123,                0.18885,                0.84857,                0.95955,                0.95573,                0.96825,                0.96548,                 0.9387,                0.93617,                0.93441,                0.92723,                0.16411,                0.40556,                0.15831,                0.78384,             0.00028282,             0.00028282,             0.00028282
                     64,                0.23816,                0.30339,                0.19392,                0.84409,                0.97035,                0.95737,                 0.9615,                0.96057,                0.95142,                0.93849,                0.93165,                0.92942,                0.16301,                  0.316,                0.16418,                0.78422,             0.00027575,             0.00027575,             0.00027575
                     65,                0.23934,                 0.3032,                0.19422,                0.84756,                 0.9718,                0.95093,                0.96412,                0.96321,                0.95215,                0.93217,                0.93041,                0.92894,                0.15772,                0.26018,                0.16323,                0.78063,             0.00026868,             0.00026868,             0.00026868
                     66,                0.24085,                0.30142,                0.19278,                0.84743,                0.97769,                 0.9541,                0.96152,                0.96062,                0.95856,                0.93551,                0.92846,                0.92408,                0.15415,                 0.3339,                0.15761,                0.78059,             0.00026161,             0.00026161,             0.00026161
                     67,                0.23765,                 0.2995,                0.18522,                0.84666,                0.95932,                 0.9538,                0.96362,                0.96277,                0.94004,                0.93526,                0.93189,                 0.9253,                0.15159,                0.22813,                0.14817,                0.77959,             0.00025454,             0.00025454,             0.00025454
                     68,                0.23929,                0.30461,                0.18625,                  0.847,                0.96979,                0.95076,                0.98065,                0.97838,                0.95153,                0.93327,                0.95001,                0.93901,                0.15699,                0.28958,                0.15243,                0.78061,             0.00024747,             0.00024747,             0.00024747
